NIK,Nama,TTL,Status Hubungan,Status Perkawinan,Gaji,Jenis Pekerjaan,Agama,Jenis Makanan,Kode Rumah,Luas Rumah
3356390000000000.0,Bu Hari,"Malang, 09-10-1986",Istri,kawin,"Rp6.320.220,80",PNS,Islam,opor,C7,200
3356150000000000.0,Pak Bakri ,"Jember, 21-11-1985",Kepala Keluarga,kawin,"Rp5.798.308,18",Swasta,Islam,ayam bakar,C8,230
3352930000000000.0,Bu Bakri,"Situbodo, 19-09-1986",Istri,kawin,"Rp3.711.982,69",PNS,Islam,ayam bakar,C8,230
3355300000000000.0,Pak Fahri,"Banyuwangi, 07-02-1983",Kepala Keluarga,kawin,"Rp7.896.697,79",BUMN,Islam,bakso,C9,210
3359650000000000.0,Bu Fahri,"Jember, 20-12-1986",Istri,kawin,"Rp2.803.120,67",Swasta,Islam,bakso,C9,210
3359920000000000.0,Pak Mariono,"Jember,10-04-1987",Kepala Keluarga,kawin,"Rp9.207.626,58",PNS,Islam,soto,C10,180
3353660000000000.0,Bu Mariono,"Surabaya, 14-02-1988",Istri,kawin,"Rp0,00",Tidak Bekerja,Islam,soto,C10,180
3356700000000000.0,Pak Mardi,"Madiun, 29-03-1987",Kepala Keluarga,kawin,"Rp2.865.885,14",PNS,Islam,opor,C11,100
3357690000000000.0,Bu Mardi,"Jember, 02-05-1988",Istri,kawin,"Rp0,00",Tidak Bekerja,Islam,opor,C11,100
3356970000000000.0,Pak Karel,"Jember, 07-08-1989",Kepala Keluarga,kawin,"Rp9.175.753,85",PNS,Kristen,soto,C12,110
3358230000000000.0,Bu Karel,"Bekasi, 01-10-1990",Istri,kawin,"Rp0,00",TIdak Bekerja,Kristen,soto,C12,110
3354310000000000.0,Pak Tiono,"Jember, 27-05-1991",Kepala Keluarga,kawin,"Rp6.587.272,58",Swasta,Islam,bakso,C13,230
3357290000000000.0,Bu Tiono,"Malang, 30-06-1992",Istri,kawin,"Rp6.695.085,78",Swasta,Islam,bakso,C13,230
3359890000000000.0,Pak Baim,"Banyuwangi, 07-02-1991",Kepala Keluarga,kawin,"Rp8.302.140,05",BUMN,Islam,soto,C14,180
3358350000000000.0,Bu Baim,"Jember, 27-05-1992",Istri,kawin,"Rp5.322.783,11",Swasta,Islam,soto,C14,180
3357260000000000.0,Indra,"Jember, 21-08-1998",anak,belum kawin,"Rp5.102.050,36",Swasta,Islam,bakso,C1,200
3355370000000000.0,Rani,"Jember, 18-04-2001",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,bakso,C1,200
3357930000000000.0,Maria,"Jember, 21-08-1997",anak,belum kawin,"Rp6.753.323,84",Swasta,Islam,opor,C2,240
3356750000000000.0,Brian,"Jember, 02-09-1999",anak,belum kawin,"Rp7.724.264,74",Swasta,Islam,opor,C2,240
3357900000000000.0,Bima,"Jember, 17-10-2000",anak,belum kawin,"Rp5.825.696,87",PNS,Islam,opor,C2,240
3355490000000000.0,Nini,"Jember, 19-08-1997",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C3,120
3353640000000000.0,Gina,"Jember, 21-04-1999",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C3,120
3356060000000000.0,Andra,"Jember, 10-07-2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C3,120
3355980000000000.0,Randi,"Jember, 22-01-2002",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C3,120
3354730000000000.0,Rodrigo,"Jember, 19-06-1999",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,bakso,C4,200
3355510000000000.0,Anisa,"Jember, 10-02-2004",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,bakso,C4,200
3357190000000000.0,Sutono,"Pasuruan, 01-01-1999",anak,belum kawin,"Rp7.904.942,89",Swasta,Islam,rawon,C5,240
3353400000000000.0,Tina,"Jember, 21-04-2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,rawon,C5,240
3353550000000000.0,Dono,"Jember, 12-07-2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,rawon,C5,240
3358510000000000.0,Nana,"Jember, 06-02-1999",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,ayam bakar,C6,240
3355060000000000.0,Gani,"Jember, 22-04-2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,ayam bakar,C6,180
3357060000000000.0,Aulia,"Jember, 23-07-2002",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,ayam bakar,C6,180
3355950000000000.0,Kardi,"Jember, 29-09-2004",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,ayam bakar,C6,180
3359210000000000.0,Ari,"Jember, 21 Juni 2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C7,200
3358540000000000.0,Ita,"Jember, 17 Juni 2004",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C7,200
3354420000000000.0,Barni,"Jember, 08 Agustus 2009",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C7,200
3356230000000000.0,Ardi,"Jember, 11 Mei 2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,ayam bakar,C8,230
3352990000000000.0,Arda,"Jember, 04 Januari 2003",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,ayam bakar,C8,230
3354690000000000.0,Indri,"Jember, 19 November 2006",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,ayam bakar,C8,230
3356380000000000.0,Farhan,"Jember, 14 Maret 2008",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,bakso,C9,210
3354070000000000.0,Fikri,"Jember, 01 September 2012",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,bakso,C9,210
3358860000000000.0,Akbar,"Jember, 09 Agustus 1999",anak,belum kawin,"Rp1.077.428,32",Swasta,Islam,soto,C10,180
3358440000000000.0,Almas,"Jember, 17 Juni 2004",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,soto,C10,180
3357950000000000.0,Roni,"Jember, 11 Agustus 2008",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,soto,C10,180
3356060000000000.0,Robi,"Jember, 08 Desember 2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C11,100
3355090000000000.0,Hanifa,"Jember, 02 Februari 2001",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,opor,C11,100
3353150000000000.0,Razzaqi,"Jember, 27 Maret 2001",anak,belum kawin,"Rp0,00",TIdak Bekerja,Kristen,soto,C12,110
3357640000000000.0,Nesia,"Jember, 23 Februari 2003",anak,belum kawin,"Rp0,00",TIdak Bekerja,Kristen,soto,C12,110
3355460000000000.0,Septian,"Jember, 08 Desember 2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Kristen,soto,C12,110
3354080000000000.0,Chintya,"Jember, 07 September 2008",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,bakso,C13,230
3359270000000000.0,Fania,"Jember, 11 Agustus 2010",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,bakso,C13,230
3354370000000000.0,Aji,"Jember, 19 November 2016",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,bakso,C13,230
3358450000000000.0,Mail,"Jember, 17 Februari 2000",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,soto,C14,180
3356020000000000.0,Susanti,"Jember, 27 Februari 2007",anak,belum kawin,"Rp0,00",TIdak Bekerja,Islam,soto,C14,180
